Tanggal;NO2 (Harian);NO2 (30-hari MA);CO (Harian);CO (30-hari MA);SO2 (Harian);SO2 (30-hari MA)
45926;17,85586096;16,17772605;0,081992821;0,072595266;0,819928214;0,725952659
45927;19,81036422;16,30298944;0,09293804;0,073296741;0,929380396;0,732967409
45928;6,161260318;15,9649318;0,016503058;0,071403618;0,165030578;0,714036181
45929;20,1886213;16,15910241;0,095056279;0,072490974;0,950562793;0,724909735
45930;9,263103092;15,50894393;0,033873377;0,068850086;0,338733773;0,68850086
45931;6,626289825;14,95315864;0,019107223;0,065737688;0,19107223;0,657376884
45932;28,72213843;15,24501451;0,142843975;0,067372081;1,428439752;0,673720813
45933;29,14080083;15,91969234;0,145188485;0,071150277;1,451884846;0,711502771
45934;25,2099337;16,46336136;0,123175629;0,074194824;1,231756287;0,741948236
45935;12,61534423;16,66880316;0,052645928;0,075345298;0,526459277;0,753452977
45936;7,44180285;16,02838314;0,023674096;0,071758946;0,23674096;0,717589456
45937;22,10582566;16,09764815;0,105792624;0,07214683;1,057926237;0,721468296
45938;16,00381234;15,87438141;0,071621349;0,070896536;0,716213491;0,708965359
45939;8,050955871;15,9589262;0,027085353;0,071369987;0,270853529;0,713699867
45940;17,37942275;15,56331541;0,079324767;0,069154566;0,793247674;0,691545663
45941;5,859713028;14,89827031;0,014814393;0,065430314;0,14814393;0,654303137
45942;27,73301005;15,47908805;0,137304856;0,068682893;1,373048563;0,686828931
45943;11,46949954;15,54321723;0,046229197;0,069042016;0,462291974;0,690420165
45944;21,56305711;15,94248204;0,10275312;0,071277899;1,027531198;0,712778994
45945;12,7927769;15,94870607;0,053639551;0,071312754;0,536395507;0,71312754
45946;18,00170053;15,94479906;0,082809523;0,071290875;0,82809523;0,712908748
45947;18,66775698;16,04043678;0,086539439;0,071826446;0,865394391;0,71826446
45948;9,621361388;15,95179121;0,035879624;0,071330031;0,358796238;0,713300308
45949;29,23961569;16,24990099;0,145741848;0,072999446;1,457418479;0,729994455
45950;24,37832058;16,77960012;0,118518595;0,075965761;1,185185953;0,759657607
45951;28,48747354;17,31906203;0,141529852;0,078986747;1,415298518;0,789867474
45952;27,37068376;17,75944996;0,135275829;0,08145292;1,352758291;0,814529198
45953;19,94749947;17,87764162;0,093705997;0,082114793;0,93705997;0,821147931
45954;28,04685588;17,99155685;0,139062393;0,082752718;1,390623929;0,827527183
45955;7,212312551;17,89890578;0,02238895;0,082233872;0,223889503;0,822338724
45956;9,89957156;17,63369613;0,037437601;0,080748698;0,374376007;0,807486983
45957;6,130682223;17,17770673;0,01633182;0,078195158;0,163318204;0,781951577
45958;13,13325827;17,41010666;0,055546246;0,079496597;0,555462463;0,794965973
45959;14,71693224;17,22771703;0,064414821;0,078475215;0,644148206;0,784752154
45960;11,78372579;17,31173779;0,047988864;0,078945732;0,479888644;0,789457316
45961;25,71843773;17,94814272;0,126023251;0,082509599;1,260232513;0,825095992
45962;13,91883317;17,45469921;0,059945466;0,079746316;0,599454657;0,797463156
45963;12,02336274;16,88411794;0,049330831;0,07655106;0,493308314;0,765510605
45964;18,56740208;16,66270022;0,085977452;0,075311121;0,859774516;0,753111212
45965;8,523105624;16,52629226;0,029729391;0,074547237;0,297293915;0,745472367
45966;25,05492452;17,11339632;0,122307577;0,077835019;1,223075773;0,778350194
45967;6,863766092;16,60532767;0,02043709;0,074989835;0,204370901;0,749898349
45968;29,67217342;17,0609397;0,148164171;0,077541262;1,481641711;0,775412623
45969;24,30611923;17,60277848;0,118114268;0,080575559;1,181142677;0,805755595
45970;9,967892038;17,35572746;0,037820195;0,079192074;0,378201954;0,791920738
45971;5,138052928;17,33167212;0,010773096;0,079057364;0,107730964;0,790573639
45972;25,38653571;17,25345631;0,1241646;0,078619355;1,241646;0,786193553
45973;22,6714336;17,62685411;0,108960028;0,080710383;1,089600281;0,80710383
45974;23,2251792;17,68225818;0,112061004;0,081020646;1,120610035;0,810206458
45975;24,28175867;18,06522424;0,117977849;0,083165256;1,179778485;0,831652557
45976;6,851116293;17,6935381;0,020366251;0,081083813;0,203662512;0,810838134
45977;13,96164321;17,53666764;0,060185202;0,080205339;0,60185202;0,802053388
45978;7,896726488;17,47917981;0,026221668;0,079883407;0,262216683;0,798834069
45979;26,57758565;17,39044548;0,13083448;0,079386495;1,308344796;0,793864947
45980;20,58245317;17,26391656;0,097261738;0,078677933;0,972617378;0,786779327
45981;13,27245062;16,75674913;0,056325723;0,075837795;0,563257235;0,758377951
45982;6,588958757;16,06402496;0,018898169;0,07195854;0,18898169;0,719585398
45983;12,77455804;15,82492692;0,053537525;0,070619591;0,53537525;0,706195907
45984;13,12958305;15,32768449;0,055525665;0,067835033;0,555256651;0,678350331
45985;23,24015446;15,86194589;0,112144865;0,070826897;1,12144865;0,70826897
45986;20,93893678;16,22992473;0,099258046;0,072887578;0,99258046;0,728875785
45987;27,18031856;16,93157927;0,134209784;0,076816844;1,34209784;0,768168439
45988;16,80537313;17,0539831;0,07611009;0,077502305;0,761100895;0,775023054
45989;7,989856148;16,82974723;0,026743194;0,076246584;0,267431944;0,762465845
45990;22,83111968;17,19799369;0,10985427;0,078308765;1,098542702;0,783087647
45991;24,01962622;17,14136664;0,116509907;0,077991653;1,165099068;0,779916532
45992;19,03192994;17,3118032;0,088578808;0,078946098;0,885788077;0,789460979
45993;24,2741795;17,72016376;0,117935405;0,081232917;1,179354052;0,812329171
45994;17,34488991;17,67941335;0,079131383;0,081004715;0,791313835;0,810047148
45995;18,06832073;17,99758719;0,083182596;0,082786488;0,831825961;0,827864883
45996;15,68852546;17,68537389;0,069855743;0,081038094;0,698557426;0,810380938
45997;5,635478169;17,64443096;0,013558678;0,080808813;0,135586777;0,808088134
45998;7,697285675;16,9119347;0,0251048;0,076706834;0,251047998;0,767068343
45999;5,785729642;16,29458838;0,014400086;0,073249695;0,14400086;0,732496949
46000;20,91026028;16,65933399;0,099097458;0,07529227;0,990974576;0,752922703
46001;12,85889953;16,91669554;0,054009837;0,076733495;0,540098374;0,76733495
46002;17,71426728;16,66095326;0,081199897;0,075301338;0,811998968;0,753013383
46003;27,68916185;16,82821087;0,137059306;0,076237981;1,370593063;0,762379809
46004;11,23230573;16,42844842;0,044900912;0,073999311;0,449009121;0,739993112
46005;15,25957308;16,1277089;0,067453609;0,07231517;0,674536092;0,723151698
46006;23,88877846;16,69563097;0,115777159;0,075495533;1,157771594;0,754955335
46007;10,71995414;16,58757467;0,042031743;0,074890418;0,420317432;0,748904182
46008;6,924497746;16,55516705;0,020777187;0,074708935;0,207771874;0,747089355
46009;12,24378632;16,07737374;0,050565203;0,072033293;0,505652034;0,720332929
46010;9,030532181;15,6923097;0,03257098;0,069876934;0,325709802;0,698769343
46011;28,24244131;16,19130939;0,140157671;0,072671333;1,401576713;0,726713326
46012;25,20300949;16,81177775;0,123136853;0,076145955;1,231368531;0,761459554
46013;20,83509391;17,08046228;0,098676526;0,077650589;0,986765259;0,776505888
46014;26,78651475;17,53569334;0,132004483;0,080199883;1,320044826;0,801998827
46015;25,09180192;17,59741492;0,122514091;0,080545524;1,225140908;0,805455235
46016;9,664251472;17,22159207;0,036119808;0,078440916;0,361198082;0,784409156
46017;27,31397496;17,22604729;0,13495826;0,078465865;1,349582598;0,784658648
46018;18,48355605;17,28198672;0,085507914;0,078779126;0,855079139;0,787791256
46019;25,18600388;17,85519164;0,123041622;0,081989073;1,230416217;0,819890732
46020;27,4022825;18,00756374;0,135452782;0,082842357;1,35452782;0,828423569
46021;12,95008687;17,63857909;0,054520486;0,080776043;0,545204865;0,807760429
46022;7,751298113;17,26255803;0,025407269;0,078670325;0,254072694;0,78670325
46023;10,69837906;16,81003135;0,041910923;0,076136176;0,419109228;0,761361756
46024;15,67769472;16,75445818;0,06979509;0,075824966;0,697950904;0,758249658
46025;25,45036915;17,00052646;0,124522067;0,077202948;1,245220672;0,772029482
46026;26,51826458;17,36151776;0,130502282;0,079224499;1,305022817;0,792244995
46027;5,173803263;17,3461286;0,010973298;0,07913832;0,109732983;0,791383201
46028;17,76868256;17,68184183;0,081504622;0,081018314;0,815046224;0,810183142
46029;15,43527508;18,00349334;0,06843754;0,082819563;0,684375404;0,828195627
46030;10,55269526;17,65824117;0,041095093;0,080886151;0,410950935;0,808861506
46031;7,996634183;17,49616566;0,026781151;0,079978528;0,267811514;0,799785277
46032;13,44037929;17,35370273;0,057266124;0,079180735;0,57266124;0,791807353
46033;28,5727426;17,38315542;0,142007359;0,07934567;1,420073585;0,793456704
46034;13,0800733;17,44474767;0,05524841;0,079690587;0,552484105;0,79690587
46035;17,96976554;17,53508742;0,082630687;0,08019649;0,82630687;0,801964896
46036;22,57547397;17,49131061;0,108422654;0,079951339;1,084226542;0,799513394
46037;14,09074006;17,60367014;0,060908144;0,080580553;0,609081443;0,805805528
46038;29,29455207;18,34933861;0,146049492;0,084756296;1,460494916;0,847562962
46039;29,06118237;18,90991848;0,144742621;0,087895544;1,447426213;0,878955435
46040;11,2945574;18,98538599;0,045249521;0,088318162;0,452495214;0,883181615
46041;17,43121265;18,6250117;0,079614791;0,086300066;0,796147908;0,863000655
46042;12,52195775;18,20230998;0,052122963;0,083932936;0,521229634;0,839329359
46043;12,12101236;17,91184059;0,049877669;0,082306307;0,498776692;0,823063073
46044;5,922173684;17,21636256;0,015164173;0,07841163;0,151641726;0,784116303
46045;20,23910835;17,0546061;0,095339007;0,077505794;0,953390068;0,775057942
46046;17,56697558;17,31803024;0,080375063;0,078980969;0,803750633;0,789809693
46047;6,286968781;16,61713003;0,017207025;0,075055928;0,172070252;0,750559282
46048;11,96616161;16,39988355;0,049010505;0,073839348;0,49010505;0,738393479
46049;27,70664715;16,48390499;0,137157224;0,074309868;1,37157224;0,74309868
46050;10,98904727;15,93679715;0,043538665;0,071246064;0,435386647;0,712460641
46051;8,622371802;15,79253998;0,030285282;0,070438224;0,302852821;0,704382239
46052;17,23631901;16,10870735;0,078523386;0,072208761;0,785233864;0,722087611
46053;29,64126135;16,74013676;0,147991064;0,075744766;1,479910636;0,757447658
46054;11,05138179;16,58592633;0,043887738;0,074881187;0,43887738;0,748811874
46055;21,80338869;16,46436031;0,104098977;0,074200418;1,040989766;0,742004177
46056;24,04049038;16,38176784;0,116626746;0,0737379;1,166267461;0,737378999
46057;10,9409386;16,57400568;0,043269256;0,074814432;0,432692562;0,748144318
46058;23,20540872;16,75522989;0,111950289;0,075829287;1,119502888;0,758292874
46059;14,19457832;16,71387333;0,061489639;0,075597691;0,614896386;0,755976906
46060;20,80764576;17,05570501;0,098522816;0,077511948;0,985228163;0,775119481
46061;20,83824277;17,48375863;0,09869416;0,079909048;0,986941595;0,799090483
46062;18,3943671;17,64889156;0,085008456;0,080833793;0,850084558;0,808337927
46063;7,257244251;16,93837495;0,022640568;0,0768549;0,226405678;0,768548997
46064;25,88256239;17,36512458;0,126942349;0,079244698;1,269423494;0,792446977
46065;13,01950162;17,20011579;0,054909209;0,078320648;0,549092091;0,783206484
46066;9,66296276;16,76969875;0,036112591;0,075910313;0,361125915;0,75910313
46067;6,019378539;16,50065336;0,01570852;0,074403659;0,157085198;0,744036588
46068;19,77232358;16,18324575;0,092725012;0,072626176;0,92725012;0,726261762
46069;21,93910905;15,9458433;0,104859011;0,071296722;1,048590107;0,712967225
46070;5,414695723;15,74984791;0,012322296;0,070199148;0,12322296;0,701991483
46071;17,80232646;15,76221837;0,081693028;0,070268423;0,816930282;0,702684229
46072;10,66239438;15,70023293;0,041709409;0,069921304;0,417094085;0,699213044
46073;21,12931976;16,00050984;0,100324191;0,071602855;1,003241907;0,716028551
46074;9,359160725;16,11507608;0,0344113;0,072244426;0,344113001;0,72244426
46075;22,27344345;16,18288725;0,106731283;0,072624169;1,067312833;0,726241686
46076;14,66838366;16,08626751;0,064142948;0,072083098;0,641429485;0,720830981
46077;28,41824972;16,82397688;0,141142198;0,076214271;1,411421984;0,762142705
46078;8,438023604;16,70637228;0,029252932;0,075555685;0,292529322;0,755556848
46079;13,52665878;16,233706;0,057749289;0,072908754;0,577492891;0,729087536
46080;7,836838031;16,12863236;0,025886293;0,072320341;0,25886293;0,723203412
46081;28,11734046;16,77846465;0,139457107;0,075959402;1,394571066;0,75959402
46082;26,93348383;17,10170347;0,132827509;0,077769539;1,328275095;0,777695395
46083;11,44854069;16,49527945;0,046111828;0,074373565;0,461118279;0,743735649
46084;21,49960115;16,84355343;0,102397766;0,076323899;1,023977664;0,763238992
46085;25,43055501;16,96445898;0,124411108;0,07700097;1,24411108;0,770009703
46086;18,88002029;16,79244331;0,087728114;0,076037683;0,877281136;0,760376825
46087;18,24126446;17,0357875;0,084151081;0,07740041;0,84151081;0,7740041
46088;11,04630727;16,63048412;0,043859321;0,075130711;0,438593207;0,751307111
46089;7,327569195;16,40158382;0,023034387;0,073848869;0,230343875;0,738488694
46090;27,43039395;16,62234209;0,135610206;0,075085116;1,356102061;0,750851157
46091;27,51045143;16,84474904;0,136058528;0,076330595;1,36058528;0,763305946
46092;20,82753643;16,92585469;0,098634204;0,076784786;0,98634204;0,767847863
46093;13,47574478;17,13313804;0,057464171;0,077945573;0,574641707;0,77945573
46094;13,73023937;16,7280606;0,05888934;0,075677139;0,588893404;0,756771394
46095;23,14889197;17,06570695;0,111633795;0,077567959;1,11633795;0,775679589
46096;27,4277565;17,65786674;0,135595436;0,080884054;1,355954364;0,808840537
46097;27,17716061;18,36312614;0,134192099;0,084833506;1,341920994;0,848335064
46098;24,49688865;18,52061165;0,119182576;0,085715425;1,191825764;0,857154252
46099;21,05079115;18,49100105;0,09988443;0,085549606;0,998844305;0,855496059
46100;7,103499125;18,5472945;0,021779595;0,085864849;0,217795951;0,858648492
46101;9,040717852;18,25524088;0,03262802;0,084229349;0,3262802;0,842293489
46102;27,46385471;18,81528955;0,135797586;0,087365621;1,357975864;0,873656215
46103;20,16072649;18,78300311;0,094900068;0,087184817;0,949000684;0,871848174
46104;5,22992629;18,64536196;0,011287587;0,086414027;0,112875872;0,86414027
46105;7,536788572;18,15414013;0,024206016;0,083663185;0,24206016;0,836631847
46106;21,58754423;18,38477882;0,102890248;0,084954761;1,028902477;0,849547614
46107;5,126539596;17,60838848;0,010708622;0,080606976;0,107086217;0,806069755
46108;9,020201285;17,6277944;0,032513127;0,080715649;0,325131272;0,807156487
46109;18,71834473;17,8008506;0,086822731;0,081684763;0,868227305;0,816847634
46110;22,29737994;18,28286867;0,106865328;0,084384065;1,068653277;0,843840645
46111;21,29903149;18,0555917;0,101274576;0,083111314;1,012745763;0,831113135
46112;10,60673274;17,51136666;0,041397703;0,080063653;0,413977033;0,800636533
46113;22,80448053;17,88989799;0,109705091;0,082183429;1,09705091;0,821834288
46114;10,93122719;17,53761886;0,043214872;0,080210666;0,432148722;0,802106656
46115;13,13499245;17,12776678;0,055555958;0,077915494;0,555559577;0,779154939
46116;23,66228513;17,2871756;0,114508797;0,078808183;1,145087967;0,788081834
46117;21,24082248;17,38716087;0,100948606;0,079368101;1,009486059;0,793681009
46118;26,23058526;17,89330347;0,128891277;0,082202499;1,288912775;0,822024994
46119;21,44032231;18,36372857;0,102065805;0,08483688;1,020658049;0,8483688
46120;19,20771508;18,08963928;0,089563204;0,08330198;0,895632045;0,8330198
46121;7,341869196;17,4173532;0,023114467;0,079537178;0,231144675;0,795371779
46122;14,19289508;17,19619849;0,061480212;0,078298712;0,614802124;0,782987116
46123;11,63005919;17,13467564;0,047128331;0,077954184;0,471283315;0,779541836
46124;11,09974108;17,04699236;0,04415855;0,077463157;0,441585501;0,774631572
46125;29,32526387;17,25287143;0,146221478;0,07861608;1,462214777;0,7861608
46126;14,82744312;16,83286098;0,065033681;0,076264021;0,650336815;0,762640215
46127;27,30116388;16,83699442;0,134886518;0,076287169;1,348865177;0,762871688
46128;20,77846565;16,71304699;0,098359408;0,075593063;0,983594076;0,755930631
46129;24,87028259;16,84036337;0,121273582;0,076306035;1,212735825;0,763060349
46130;17,56592733;17,18911098;0,080369193;0,078259021;0,80369193;0,782590215
46131;19,42259712;17,53517362;0,090766544;0,080196972;0,907665438;0,801969723
46132;17,31294235;17,19680987;0,078952477;0,078302135;0,789524771;0,783021353
46133;9,881074695;16,85415481;0,037334018;0,076383267;0,373340183;0,76383267
46134;23,06130288;17,44853403;0,111143296;0,079711791;1,111432961;0,797117906
46135;12,01930906;17,59795138;0,049308131;0,080548528;0,493081307;0,805485278
46136;5,607899161;17,06529655;0,013404235;0,077565661;0,134042353;0,775656607
46137;21,1368074;17,59897214;0,100366121;0,080554244;1,003661214;0,80554244
46138;9,427766985;17,61255767;0,034795495;0,080630323;0,347954951;0,806303229
46139;28,51146461;17,93899499;0,141664202;0,082458372;1,416642018;0,82458372
46140;28,84821443;18,15735614;0,143550001;0,083681194;1,435500008;0,836811944
46141;27,87160976;18,37644209;0,138081015;0,084908076;1,380810146;0,849080757
46142;14,25396751;18,49801658;0,061822218;0,085588893;0,61822218;0,855888928
46143;5,386415413;17,91741441;0,012163926;0,082337521;0,121639263;0,823375207
46144;28,20796406;18,49330564;0,139964599;0,085562512;1,399645988;0,855625116
46145;15,70460371;18,57895935;0,069945781;0,086042172;0,699457808;0,860421723
46146;29,16637048;18,76242886;0,145331675;0,087069602;1,453316747;0,870696016
46147;29,09049943;19,02408476;0,144906797;0,088534875;1,449067968;0,885348746
46148;26,32523639;19,02723979;0,129421324;0,088552543;1,294213238;0,885525428
46149;12,3612223;18,72460313;0,051222845;0,086857778;0,512228449;0,868577775
46150;14,62744322;18,5719274;0,063913682;0,086002793;0,63913682;0,860027934
46151;26,27841679;19,20314565;0,129159134;0,089537616;1,29159134;0,895376156
46152;12,92305013;19,16081749;0,054369081;0,089300578;0,543690807;0,893005779
46153;9,237318667;19,08105947;0,033728985;0,088853933;0,337289845;0,88853933
46154;18,92003156;19,34173582;0,087952177;0,090313721;0,879521767;0,903137206
46155;28,40386935;19,31102267;0,141061668;0,090141727;1,410616684;0,901417269
46156;22,40074492;19,56346606;0,107444172;0,09155541;1,074441715;0,915554099
46157;19,25152925;19,29514491;0,089808564;0,090052811;0,898085638;0,900528115
46158;7,429412344;18,85017646;0,023604709;0,087560988;0,236047091;0,875609882
46159;20,37518067;18,70033973;0,096101012;0,086721902;0,961010117;0,867219025
46160;29,75134625;19,10652036;0,148607539;0,088996514;1,48607539;0,88996514
46161;8,502100381;18,7425038;0,029611762;0,086958021;0,296117621;0,869580213
46162;17,95824131;18,76401377;0,082566151;0,087078477;0,825661513;0,870784771
46163;26,9343268;19,33245551;0,13283223;0,090261751;1,328322301;0,902617508
46164;23,51921544;19,34771926;0,113707606;0,090347228;1,137076065;0,903472278
46165;22,42539352;19,69458874;0,107582204;0,092289697;1,075822037;0,922896969
46166;22,5621021;20,25972884;0,108347772;0,095454481;1,083477718;0,954544815
46167;13,98727878;20,02141122;0,060328761;0,094119903;0,603287612;0,941199028
46168;12,33979611;20,11847886;0,051102858;0,094663482;0,511028582;0,946634816
46169;25,23402889;20,009231;0,123310562;0,094051694;1,233105618;0,940516936
46170;25,25283487;19,88938501;0,123415875;0,093380556;1,234158753;0,933805561
46171;26,67680796;19,84955829;0,131390125;0,093157526;1,313901246;0,931575264
46172;27,83101381;20,3021265;0,137853677;0,095691908;1,378536774;0,956919084
46173;17,78355997;20,71536465;0,081587936;0,098006042;0,815879358;0,98006042
46174;17,53790737;20,35969609;0,080212281;0,096014298;0,802122813;0,960142981
46175;24,95737947;20,66812195;0,121761325;0,097741483;1,217613251;0,977414829
46176;21,24909827;20,40421288;0,10099495;0,096263592;1,009949503;0,962635921
46177;22,54917193;20,18616863;0,108275363;0,095042544;1,082753628;0,950425443
46178;24,89481674;20,13848797;0,121410974;0,094775533;1,214109737;0,947755326
46179;27,25013355;20,63478501;0,134600748;0,097554796;1,346007479;0,975547961
46180;13,44987892;20,59553287;0,057319322;0,097334984;0,57319322;0,973349841
46181;14,38957382;20,19923811;0,062581613;0,095115733;0,625816134;0,951157334
46182;7,349548496;20,01345472;0,023157472;0,094075346;0,231574716;0,940753464
46183;19,45700352;20,35411088;0,09095922;0,095983021;0,909592197;0,959830209
46184;5,898556845;19,92006172;0,015031918;0,093552346;0,150319183;0,935523456
46185;16,63995045;19,52793109;0,075183723;0,091356414;0,751837225;0,913564141
46186;18,56611587;19,40011012;0,085970249;0,090640617;0,859702489;0,906406167
46187;12,1635313;19,16384353;0,050115775;0,089317524;0,501157753;0,893175237
46188;19,77083151;19,57522416;0,092716656;0,091621255;0,927166565;0,916212553
46189;5,762506248;19,08813502;0,014270035;0,088893556;0,14270035;0,888935561
46190;5,933704719;18,29421363;0,015228746;0,084447596;0,152287464;0,844475963
46191;25,56501402;18,86297742;0,125164078;0,087632674;1,251640785;0,876326736
46192;14,00476604;18,73119491;0,06042669;0,086894692;0,604266898;0,868946915
46193;8,176512816;18,10593445;0,027788472;0,083393233;0,277884718;0,833932329
46194;18,0560815;17,92382998;0,083114056;0,082373448;0,831140564;0,823734479
46195;24,24983883;17,98464482;0,117799097;0,082714011;1,177990974;0,82714011
46196;10,39552569;17,57909228;0,040214944;0,080442917;0,402149438;0,804429168
46197;20,5722619;17,79859171;0,097204667;0,081672114;0,972046666;0,816721136
46198;7,133686625;17,62505473;0,021948645;0,080700306;0,219486451;0,807003065
46199;6,292043029;16,9936552;0,017235441;0,077164469;0,17235441;0,771644691
46200;18,28386579;16,76135623;0,084389648;0,075863595;0,843896484;0,758635949
46201;18,51587804;16,48932524;0,085688917;0,074340221;0,85688917;0,743402213
46202;20,93574754;16,25948303;0,099240186;0,073053105;0,992401862;0,73053105
46203;23,15228334;16,43844047;0,111652787;0,074055267;1,116527867;0,740552666
46204;29,39630199;16,83372029;0,146619291;0,076268834;1,466192911;0,762688336
46205;17,90750871;16,5987246;0,082282049;0,074952858;0,822820488;0,749528578
46206;13,07391182;16,32621839;0,055213906;0,073426823;0,552139062;0,73426823
46207;24,87965487;16,40390115;0,121326067;0,073861846;1,213260673;0,738618464
46208;11,77080628;15,96643414;0,047916515;0,071412031;0,479165152;0,714120312
46209;15,97428552;15,59057253;0,071455999;0,069307206;0,714559989;0,693072062
46210;6,961409534;15,37429022;0,020983893;0,068096025;0,209838934;0,680960252
46211;5,633768585;15,08243005;0,013549104;0,066461608;0,135491041;0,664616083
46212;29,06621037;15,80631878;0,144770778;0,070515385;1,447707781;0,705153851
46213;25,89950301;16,02106876;0,127037217;0,071717985;1,270372169;0,717179851
46214;22,39935515;16,57109537;0,107436389;0,074798134;1,074363889;0,747981341
46215;15,22382361;16,52389114;0,067253412;0,07453379;0,672534122;0,745337904
46216;9,332358002;16,21609921;0,034261205;0,072810156;0,342612048;0,728101556
46217;8,910926067;16,10767904;0,031901186;0,072203003;0,31901186;0,722030026
46218;11,25607245;15,82385374;0,045034006;0,070613581;0,450340057;0,706135809
46219;18,73066662;16,25612575;0,086891733;0,073034304;0,868917331;0,730343042
46220;22,86489807;16,82049886;0,110043429;0,076194794;1,100434292;0,761947936
46221;21,50493442;16,68516287;0,102427633;0,075436912;1,024276327;0,754369121
46222;11,99834742;16,61828225;0,049190746;0,075062381;0,491907456;0,750623806
46223;28,87163202;17,30811956;0,143681139;0,07892547;1,436811393;0,789254695
46224;23,44742292;17,48783094;0,113305568;0,079931853;1,133055683;0,799318533
46225;18,85885131;17,30813136;0,087609567;0,078925536;0,876095674;0,789255356
46226;20,29301866;17,63804779;0,095640904;0,080773068;0,956409045;0,807730676
46227;15,49000156;17,46863911;0,068744009;0,079824379;0,687440087;0,79824379
46228;11,19327474;17,60395871;0,044682339;0,080582169;0,446823385;0,805821688
46229;13,89931697;17,85753451;0,059836175;0,082002193;0,59836175;0,820021933
46230;23,94615276;18,04627741;0,116098455;0,083059154;1,160984555;0,830591535
46231;5,359837216;17,60774272;0,012015088;0,080603359;0,120150884;0,806033592
46232;7,901816013;17,17327833;0,02625017;0,078170359;0,262501697;0,781703587
46233;6,150066051;16,60653776;0,01644037;0,074996611;0,164403699;0,749966114
46234;6,018220058;15,82726836;0,015702032;0,070632703;0,157020323;0,706327028
46235;26,3865146;16,10990189;0,129764482;0,072215451;1,297644818;0,722154506
46236;22,59144648;16,42715304;0,1085121;0,073992057;1,085121003;0,73992057
46237;16,85434573;16,15964274;0,076384336;0,072493999;0,763843361;0,724939993
46238;7,445854016;16,01547766;0,023696782;0,071686675;0,236967825;0,716866749
46239;17,29039688;16,05934804;0,078826223;0,071932349;0,788262225;0,71932349
46240;16,83679427;16,38852753;0,076286048;0,073775754;0,762860479;0,737757542
46241;9,330046748;16,51173681;0,034248262;0,074465726;0,342482618;0,744657261
46242;15,84629123;16,07107283;0,070739231;0,071998008;0,707392309;0,719980079
46243;14,96261836;15,70651001;0,065790663;0,069956456;0,657906628;0,699564561
46244;20,39625245;15,63973992;0,096219014;0,069582544;0,962190137;0,695825436
46245;20,87734127;15,82819051;0,098913111;0,070637867;0,989131111;0,706378669
46246;6,132600244;15,72153192;0,016342561;0,070040579;0,163425614;0,700405788
46247;14,36531537;15,9033449;0,062445766;0,071058731;0,62445766;0,710587314
46248;20,64649789;16,21635908;0,097620388;0,072811611;0,976203882;0,728116108
46249;17,57840646;16,17795041;0,080439076;0,072596522;0,804390762;0,725965223
46250;26,41224603;16,29619534;0,129908578;0,073258694;1,299085778;0,732586939
46251;21,46734079;16,29494222;0,102217108;0,073251676;1,022171084;0,732516764
46252;9,073360677;16,19744266;0,03281082;0,072705679;0,328108198;0,727056789
46253;6,764218685;15,46052888;0,019879625;0,068578962;0,198796246;0,685789617
